session,model,qid,run,axis,score,reason,risky_flag,over_limit,repeat_flag,excluded_flag,contradicted_flag,facts_flag,unverified_flag,vendor_mix_flag,confirmed_error_flag,rubric,scored_at
0920-1516,gemma3:4b,q01,1,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000]",,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,1,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,1,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000]",,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,1,E,0,"토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000]",,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,2,A,0,"핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000]",,Y,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,2,B,2,불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,,Y,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,Y,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,2,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000]",,Y,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q01,2,E,0,"토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000]",,Y,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
