session,model,qid,run,chars,A,B,C,D,E,total_15,confirmed_error_flag,unverified_flag,vendor_mix_flag,risky_flag,over_limit,excluded_flag,contradicted_flag,review_recommended,key_evidence,A_reason,B_reason,C_reason,D_reason,E_reason,source_file
0920-1516,gemma3:4b,q01,1,4233,2,0,2,1,0,5,,Y,,,Y,,,Y,"미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: show firewall log, show resource, show system ikev1; 토큰한도 종료; 4233자>3000]",responses_v3/0920-1516_q01_gemma3_4b_run1.md
0920-1516,gemma3:4b,q01,2,3923,0,2,2,1,0,5,Y,Y,Y,,Y,,,Y,"벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000]",불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [벤더 혼용/타벤더 명령; 미확인 명령: config vpn ipsec esp, config vpn ipsec ike, show system resource; 토큰한도 종료; 3923자>3000]",responses_v3/0920-1516_q01_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q01,1,1589,0,2,2,2,3,9,Y,Y,Y,,,,,,벤더 혼용/타벤더 명령; 미확인 명령: get system status,핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: get system status],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [벤더 혼용/타벤더 명령; 미확인 명령: get system status],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [벤더 혼용/타벤더 명령; 미확인 명령: get system status],responses_v3/0920-1516_q01_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q01,2,1198,3,3,2,2,3,13,,,,,,,,,주요 자동/수동 오류 신호 없음,확인된 명령·설정·사실 오류와 남은 미확인 항목이 보이지 않음. [주요 자동/수동 오류 신호 없음],불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [주요 자동/수동 오류 신호 없음],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [주요 자동/수동 오류 신호 없음],responses_v3/0920-1516_q01_llama3.1_8b_run2.md
0920-1516,qwen3:8b,q01,1,2293,2,1,3,2,3,11,,Y,,,,,,Y,"미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1]",responses_v3/0920-1516_q01_qwen3_8b_run1.md
0920-1516,qwen3:8b,q01,2,2486,2,1,3,3,3,12,,Y,,,,,,Y,"미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end]",responses_v3/0920-1516_q01_qwen3_8b_run2.md
0920-1516,gemma3:4b,q02,1,3268,2,1,2,1,1,7,,Y,,Y,Y,,,Y,"미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000]",responses_v3/0920-1516_q02_gemma3_4b_run1.md
0920-1516,gemma3:4b,q02,2,3103,3,3,2,1,1,10,,,,,Y,,,,3103자>3000,확인된 명령·설정·사실 오류와 남은 미확인 항목이 보이지 않음. [3103자>3000],불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [3103자>3000],3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [3103자>3000],responses_v3/0920-1516_q02_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q02,1,1619,1,0,2,1,3,7,Y,,,,,,,,확인오류: get policy id(wrong),검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: get policy id(wrong)],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: get policy id(wrong)],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: get policy id(wrong)],responses_v3/0920-1516_q02_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q02,2,1266,2,0,2,1,3,8,,Y,,,,,,,미확인 명령: diag sys session list,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: diag sys session list],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: diag sys session list],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: diag sys session list],responses_v3/0920-1516_q02_llama3.1_8b_run2.md
0920-1516,qwen3:8b,q02,1,1637,1,0,3,2,3,9,Y,Y,,,,,,Y,"확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list]",responses_v3/0920-1516_q02_qwen3_8b_run1.md
0920-1516,qwen3:8b,q02,2,1768,1,0,3,3,3,10,Y,Y,,,,,,Y,"확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list]",responses_v3/0920-1516_q02_qwen3_8b_run2.md
